calcuttaseo.com	calcuttaseo.com	1
contributor.yahoo.com	contributor.yahoo.com	2
cfodirect.pwc.com	cfodirect.pwc.com	1
asi.disqus.com	asi.disqus.com	1
abir.shundor.com	abir.shundor.com	2
abcjazz.net.au	uriburner.com	1
abcjazz.net.au	abcjazz.net.au	3
asianfanatics.net	umbel.org	16
asianfanatics.net	sw.opencyc.org	11
asianfanatics.net	sws.geonames.org	3
asianfanatics.net	mpii.de	20
asianfanatics.net	cb.semsol.org	2
asianfanatics.net	www4.wiwiss.fu-berlin.de	8
asianfanatics.net	dbpedia.org	27
asianfanatics.net	rdf.freebase.com	24
chrisroutledge.co.uk	chrisroutledge.co.uk	1
alternative-health.biz.outerstats.com	uriburner.com	1
alternative-health.biz.outerstats.com	linkeddata.uriburner.com	1
asepfirman1924.blogspot.com	asepfirman1924.blogspot.com	1
collection.britishart.yale.edu	collection.britishart.yale.edu	5
ccb-wm.org	ccb-wm.org	1
blackcelebritykids.wordpress.com	blackcelebritykids.wordpress.com	7
bluetoothlounge.com	umbel.org	1
bluetoothlounge.com	sw.opencyc.org	2
bluetoothlounge.com	mpii.de	3
bluetoothlounge.com	www4.wiwiss.fu-berlin.de	1
bluetoothlounge.com	dbpedia.org	4
bluetoothlounge.com	rdf.freebase.com	3
bibleontology.com	mpii.de	1
bibleontology.com	dbpedia.org	1
bibleontology.com	rdf.freebase.com	1
captsolo.net	umbel.org	13
captsolo.net	sw.opencyc.org	2
captsolo.net	mpii.de	13
captsolo.net	cb.semsol.org	9
captsolo.net	www4.wiwiss.fu-berlin.de	1
captsolo.net	dbpedia.org	17
captsolo.net	rdf.freebase.com	17
captsolo.net	captsolo.net	5
content.boomerangbooks.com.au	content.boomerangbooks.com.au	1
blog.cristianobetta.com	blog.cristianobetta.com	1
asiantsunami.org	asiantsunami.org	1
cathbore.wordpress.com	cathbore.wordpress.com	1
blog.sironaconsulting.com	linkeddata.uriburner.com	1
blog.2createawebsite.com	uriburner.com	1
apple.alltop.com	apple.alltop.com	1
brecorder.com	umbel.org	7
brecorder.com	sw.opencyc.org	6
brecorder.com	sws.geonames.org	2
brecorder.com	mpii.de	10
brecorder.com	www4.wiwiss.fu-berlin.de	4
brecorder.com	dbpedia.org	12
brecorder.com	rdf.freebase.com	12
askesian.com	askesian.com	1
alexa.webmasterhome.cn	uriburner.com	7
bestdayz.com	uriburner.com	8
allaboutkidsinflatables.com.outerstats.com	uriburner.com	1
connectoria.com	uriburner.com	1
connectoria.com	linkeddata.uriburner.com	1
crossword911.com	crossword911.com	1
commercialsky.com	commercialsky.com	1
autotrader.ie	autotrader.ie	1
